channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,time_delay_sec,fee_amount,fee_denom,send_tx_hash,ack_tx_hash,src_channel,dst_channel,sender,receiver,token_amount,token_denom,ack_success
channel-10,167315,19333016,2025-01-26T15:12:25.817679,19333020,2025-01-26T15:12:33.180090,4,7.362411,,,,,channel-10,channel-874,,,,,False
channel-10,167316,19333026,2025-01-26T15:12:46.464993,19333029,2025-01-26T15:12:56.507023,3,10.04203,,,,,channel-10,channel-874,,,,,False
channel-35,1008364,19333052,2025-01-26T15:13:57.710240,19333059,2025-01-26T15:14:12.198783,7,14.488543,,,,,channel-35,channel-8,,,,,False
