channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,time_delay_sec,fee_amount,fee_denom,send_tx_hash,ack_tx_hash
channel-569,302613,23500829,,,,,,,,,
channel-141,4143269,23500842,,23500844.0,2024-12-14T01:27:28.735193,2.0,,,,,
channel-141,4143277,23500890,,23500892.0,,2.0,,,,,
channel-569,302617,23500891,,23500894.0,,3.0,,,,,
channel-141,4143278,23500891,,23500893.0,,2.0,,,,,
channel-141,4143279,23500891,,23500893.0,,2.0,,,,,
channel-141,4143281,23500911,,,,,,,,,
channel-141,4143282,23500918,,23500921.0,,3.0,,,,,
channel-141,4143283,23500918,,23500921.0,,3.0,,,,,
channel-141,4143284,23500919,2024-12-14T01:34:55.011242,23500921.0,,2.0,,,,,
channel-141,4143285,23500925,,23500928.0,,3.0,,,,,
channel-141,4143286,23500933,,,,,,,,,
channel-141,4143287,23500936,,,,,,,,,
channel-141,4143288,23500937,,23500939.0,,2.0,,,,,
channel-141,4143290,23500954,,,,,,,,,
channel-141,4143291,23500955,,,,,,,,,
channel-141,4143295,23500991,2024-12-14T01:41:57.242203,23500993.0,,2.0,,,,,
channel-220,108451,23500999,,,,,,,,,
channel-141,4143296,23500999,,,,,,,,,
channel-141,4143297,23500999,,,,,,,,,
channel-141,4143298,23501000,2024-12-14T01:42:51.802220,,,,,,,,
