channel_id,sequence,send_height,ack_height,block_delay
channel-326,538714,30397694,30397703,9
channel-750,686198,30397696,30397715,19
channel-750,686199,30397697,30397709,12
channel-750,686200,30397707,30397718,11
channel-259,314525,30397707,30397713,6
channel-0,4041276,30397710,30397740,30
channel-750,686201,30397710,30397721,11
channel-750,686202,30397711,30397725,14
channel-750,686203,30397721,30397726,5
channel-750,686204,30397723,30397738,15
channel-208,1491466,30397732,30397744,12
channel-750,686205,30397733,30397744,11
channel-122,668590,30397734,30397738,4
channel-6994,1326709,30397736,30397744,8
channel-750,686206,30397737,30397746,9
channel-750,686207,30397738,30397746,8
channel-750,686208,30397739,30397752,13
channel-750,686209,30397744,30397753,9
channel-750,686210,30397747,30397762,15
channel-122,668591,30397756,30397762,6
channel-750,686211,30397757,30397770,13
channel-750,686212,30397759,30397770,11
channel-750,686213,30397773,30397777,4
channel-750,686214,30397778,30397793,15
channel-251,85321,30397779,30397785,6
channel-79703,4472,30397780,30397791,11
channel-750,686215,30397781,30397788,7
channel-750,686216,30397785,30397793,8
channel-750,686217,30397795,30397807,12
channel-326,538715,30397799,30397804,5
channel-874,293850,30397801,30397810,9
channel-6994,1326710,30397811,30397821,10
channel-0,4041277,30397812,30397825,13
channel-98451,148,30397816,30397827,11
channel-208,1491467,30397821,30397830,9
channel-0,4041278,30397826,30397839,13
channel-0,4041279,30397826,30397839,13
channel-2188,43980,30397826,30397831,5
channel-750,686218,30397827,30397862,35
channel-0,4041280,30397835,30397855,20
channel-750,686219,30397835,30397849,14
channel-750,686220,30397836,30397848,12
channel-6994,1326711,30397839,30397853,14
channel-750,686221,30397854,30397863,9
channel-91017,2974,30397857,30397957,100
channel-750,686222,30397868,30397893,25
channel-4,167115,30397886,30397898,12
channel-115,20449,30397887,30397897,10
channel-750,686223,30397891,30397897,6
channel-750,686224,30397897,30397901,4
channel-750,686225,30397899,30397910,11
channel-0,4041281,30397900,30397936,36
channel-89321,19624,30397902,30397914,12
