channel_id,sequence,send_height,ack_height,block_delay
channel-0,4035762,30201296,30201307,11
channel-216,94029,30201299,30201306,7
channel-75,844469,30201320,30201327,7
channel-216,94030,30201320,30201324,4
channel-208,1489109,30201325,30201340,15
channel-208,1489110,30201325,30201340,15
channel-42,1489763,30201339,30201390,51
channel-6994,1322477,30201344,30201370,26
channel-0,4035763,30201344,30201353,9
channel-19774,345656,30201354,30201363,9
channel-85077,58901,30201370,30201383,13
channel-208,1489111,30201372,30201385,13
channel-73755,5813,30201374,30201382,8
channel-750,680685,30201390,30201405,15
channel-188,190498,30201390,30201401,11
channel-208,1489112,30201405,30201417,12
channel-208,1489113,30201409,30201419,10
channel-85077,58902,30201414,30201435,21
channel-73755,5814,30201414,30201421,7
channel-750,680686,30201417,30201429,12
channel-88,466982,30201439,30201452,13
channel-750,680687,30201442,30201447,5
channel-326,537277,30201449,30201464,15
channel-73755,5815,30201449,30201458,9
channel-75755,5518,30201453,30201465,12
channel-85077,58903,30201457,30201464,7
channel-188,190499,30201468,30201481,13
channel-0,4035764,30201471,30201482,11
channel-216,94031,30201486,30201490,4
channel-251,85114,30201487,30201498,11
channel-0,4035765,30201496,30201515,19
channel-0,4035766,30201499,30201512,13
channel-88,466983,30201507,30201518,11
channel-75,844470,30201537,30201545,8
channel-208,1489114,30201546,30201559,13
channel-750,680688,30201552,30201561,9
channel-204,670695,30201560,30201565,5
channel-412,64374,30201567,30201575,8
channel-85077,58904,30201567,30201595,28
channel-204,670696,30201578,30201587,9
channel-75,844471,30201584,30201590,6
channel-0,4035767,30201591,30201604,13
channel-0,4035768,30201592,30201604,12
channel-412,64375,30201592,30201603,11
channel-750,680689,30201600,30201607,7
channel-750,680690,30201608,30201613,5
channel-874,292244,30201619,30201628,9
channel-6994,1322478,30201619,30201650,31
channel-326,537278,30201623,30201639,16
channel-85077,58905,30201627,30201658,31
channel-750,680691,30201632,30201644,12
channel-6994,1322479,30201665,30201679,14
channel-216,94032,30201674,30201678,4
channel-6994,1322480,30201679,30201688,9
channel-750,680692,30201682,30201692,10
channel-750,680693,30201683,30201699,16
channel-216,94033,30201689,30201693,4
channel-0,4035769,30201691,30201703,12
channel-94814,3683,30201699,30201716,17
channel-75,844472,30201699,30201706,7
channel-750,680694,30201710,30201715,5
channel-76971,12204,30201739,30201753,14
channel-0,4035770,30201752,30201774,22
channel-208,1489115,30201754,30201765,11
channel-0,4035771,30201770,30201779,9
channel-0,4035772,30201773,30201785,12
channel-2716,2662,30201785,30201807,22
channel-0,4035773,30201789,30201799,10
channel-4,166740,30201789,30201811,22
channel-19774,345657,30201803,30201812,9
channel-0,4035774,30201806,30201818,12
channel-0,4035775,30201814,30201823,9
channel-75,844473,30201819,30201827,8
channel-0,4035776,30201826,30201847,21
channel-6994,1322481,30201843,30201864,21
channel-2188,43397,30201851,30201857,6
channel-0,4035777,30201853,30201864,11
channel-85077,58906,30201859,30201883,24
channel-216,94034,30201872,30201876,4
channel-750,680695,30201872,30201887,15
channel-326,537279,30201876,30201896,20
channel-2188,43398,30201878,30201882,4
channel-6994,1322482,30201884,30201896,12
channel-94814,3684,30201889,30201900,11
channel-208,1489116,30201896,30201906,10
channel-85077,58907,30201902,30201911,9
channel-750,680696,30201913,30201917,4
channel-19774,345658,30201914,30201919,5
channel-750,680697,30201918,30201935,17
channel-229,54986,30201918,30201927,9
channel-1429,140627,30201919,30201925,6
channel-251,85115,30201919,30201939,20
channel-0,4035778,30201921,30201945,24
channel-750,680698,30201922,30201931,9
channel-0,4035779,30201928,30201943,15
channel-750,680699,30201929,30201936,7
channel-750,680700,30201929,30201936,7
channel-750,680701,30201929,30201936,7
channel-750,680702,30201931,30201940,9
channel-91017,2692,30201931,30201937,6
channel-216,94035,30201932,30201936,4
channel-2,130555,30201932,30201942,10
channel-750,680703,30201932,30201943,11
channel-251,85116,30201932,30201939,7
channel-750,680704,30201933,30201943,10
channel-750,680705,30201933,30201940,7
channel-188,190500,30201936,30201966,30
channel-750,680706,30201937,30201947,10
channel-0,4035780,30201938,30201954,16
channel-750,680707,30201939,30201951,12
channel-216,94036,30201940,30201944,4
channel-0,4035781,30201942,30201954,12
channel-750,680708,30201943,30201957,14
channel-19774,345659,30201945,30201959,14
channel-0,4035782,30201945,30201952,7
channel-750,680709,30201945,30201950,5
channel-750,680710,30201947,30201964,17
channel-326,537280,30201947,30201960,13
channel-750,680711,30201950,30201957,7
channel-750,680712,30201951,30201960,9
channel-750,680713,30201951,30201955,4
channel-1429,140628,30201952,30201958,6
channel-88,466984,30201952,30201978,26
channel-1,408006,30201954,30201997,43
channel-251,85117,30201954,30201962,8
channel-1,408007,30201954,30201997,43
channel-750,680714,30201954,30201962,8
channel-750,680715,30201954,30201962,8
channel-326,537281,30201954,30201967,13
channel-750,680716,30201958,30201962,4
channel-0,4035783,30201958,30201976,18
channel-0,4035784,30201958,30201979,21
channel-1,408008,30201958,30201997,39
channel-874,292245,30201958,30201961,3
channel-782,310005,30201958,30201975,17
channel-750,680717,30201959,30201977,18
channel-750,680718,30201959,30201969,10
channel-750,680719,30201959,30201962,3
channel-208,1489117,30201959,30201968,9
channel-19774,345660,30201960,30201967,7
channel-750,680720,30201960,30201967,7
channel-85077,58908,30201960,30201986,26
channel-874,292246,30201961,30201967,6
channel-750,680721,30201962,30201976,14
channel-750,680722,30201962,30201976,14
channel-122,667445,30201963,30201967,4
channel-750,680723,30201965,30201977,12
channel-750,680724,30201965,30201977,12
channel-750,680725,30201966,30201980,14
channel-750,680726,30201967,30201971,4
channel-750,680727,30201968,30201972,4
channel-750,680728,30201969,30201974,5
channel-750,680729,30201971,30201976,5
channel-750,680730,30201973,30201985,12
channel-208,1489118,30201976,30201983,7
channel-5,184172,30201977,30201982,5
channel-0,4035785,30201979,30202004,25
channel-4,166741,30201979,30202018,39
channel-229,54987,30201981,30201993,12
channel-340,3128,30201985,30201996,11
channel-874,292247,30201987,30201995,8
