channel_id,sequence,send_height,ack_height,block_delay,send_time,ack_time,fee_amount,fee_denom
channel-85077,58893,30200869,30200884.0,15.0,,,,
channel-75,844468,30200869,30200877.0,8.0,,,,
channel-204,670685,30200897,30200907.0,10.0,,,,
channel-204,670686,30200898,30200907.0,9.0,,,,
channel-85077,58894,30200903,30200915.0,12.0,,,,
channel-204,670687,30200904,30200914.0,10.0,,,,
channel-750,680681,30200905,30200916.0,11.0,,,,
channel-204,670688,30200908,30200917.0,9.0,,,,
channel-188,190497,30200911,30200923.0,12.0,,,,
channel-204,670689,30200913,30200922.0,9.0,,,,
channel-204,670690,30200915,30200926.0,11.0,,,,
channel-85077,58895,30200918,30200944.0,26.0,,,,
channel-0,4035748,30200918,30200928.0,10.0,,,,
channel-0,4035749,30200919,30200928.0,9.0,,,,
channel-0,4035750,30200920,30200933.0,13.0,,,,
channel-216,94026,30200922,30200927.0,5.0,,,,
channel-208,1489108,30200926,30200937.0,11.0,,,,
channel-204,670691,30200938,30200945.0,7.0,,,,
channel-122,667443,30200946,30200949.0,3.0,,,,
channel-204,670692,30200959,30200967.0,8.0,,,,
channel-0,4035751,30201000,30201009.0,9.0,,,,
channel-750,680682,30201013,30201030.0,17.0,,,,
channel-0,4035752,30201018,30201027.0,9.0,,,,
channel-750,680683,30201021,30201031.0,10.0,,,,
channel-0,4035753,30201026,30201033.0,7.0,,,,
channel-72,516371,30201055,30201080.0,25.0,,,,
channel-73755,5812,30201058,30201069.0,11.0,,,,
channel-0,4035754,30201059,30201072.0,13.0,,,,
channel-0,4035755,30201062,30201072.0,10.0,,,,
channel-0,4035756,30201071,30201082.0,11.0,,,,
channel-204,670693,30201083,30201093.0,10.0,,,,
channel-85077,58896,30201099,30201128.0,29.0,,,,
channel-320,119116,30201103,30201125.0,22.0,,,,
channel-216,94027,30201107,30201111.0,4.0,,,,
channel-0,4035757,30201112,30201125.0,13.0,,,,
channel-204,670694,30201123,30201131.0,8.0,,,,
channel-750,680684,30201147,30201152.0,5.0,,,,
channel-6994,1322473,30201156,30201170.0,14.0,,,,
channel-6994,1322474,30201162,30201175.0,13.0,,,,
channel-122,667444,30201181,30201185.0,4.0,,,,
channel-0,4035758,30201186,30201197.0,11.0,,,,
channel-6994,1322475,30201201,30201216.0,15.0,,,,
channel-0,4035759,30201205,30201216.0,11.0,,,,
channel-6994,1322476,30201217,30201240.0,23.0,,,,
channel-216,94028,30201220,30201224.0,4.0,,,,
channel-85077,58897,30201223,30201232.0,9.0,,,,
channel-85077,58898,30201231,30201267.0,36.0,,,,
channel-85077,58899,30201263,30201299.0,36.0,,,,
channel-85077,58900,30201276,30201299.0,23.0,,,,
channel-0,4035760,30201279,30201292.0,13.0,,,,
channel-0,4035761,30201282,30201292.0,10.0,,,,
channel-184,137333,30201285,30201299.0,14.0,,,,
channel-0,4035762,30201296,30201307.0,11.0,,,,
channel-216,94029,30201299,30201306.0,7.0,,,,
channel-75,844469,30201320,30201327.0,7.0,,,,
channel-216,94030,30201320,30201324.0,4.0,,,,
channel-208,1489109,30201325,30201340.0,15.0,,,,
