channel_id,sequence,send_height,ack_height,block_delay
channel-779,1173,30385807,30385830,23
channel-6994,1326399,30385812,30385821,9
channel-75,845470,30385819,30385842,23
channel-4,167099,30385825,30385836,11
channel-6994,1326400,30385831,30385843,12
channel-75,845471,30385831,30385839,8
channel-0,4040969,30385841,30385849,8
channel-204,670891,30385841,30385849,8
channel-6994,1326401,30385844,30385853,9
channel-750,685918,30385849,30385860,11
channel-108,39879,30385854,30385870,16
channel-108,39880,30385861,30385870,9
channel-94814,3824,30385879,30385889,10
channel-72,516525,30385902,30385955,53
channel-874,293636,30385902,30385917,15
channel-783,104455,30385907,30385914,7
channel-122,668531,30385917,30385926,9
channel-1,408825,30385919,30385932,13
channel-6994,1326402,30385920,30385937,17
channel-72,516526,30385933,30385978,45
channel-6787,166874,30385944,30385948,4
channel-750,685919,30385949,30385961,12
channel-874,293637,30385951,30385955,4
channel-320,119317,30385957,30386019,62
channel-6994,1326403,30385957,30385968,11
channel-122,668532,30385957,30385960,3
channel-874,293638,30385962,30385968,6
channel-6787,166875,30385966,30385971,5
channel-5,184410,30385966,30385972,6
channel-0,4040970,30385979,30385993,14
channel-1,408826,30385987,30385994,7
channel-750,685920,30385989,30385993,4
channel-6994,1326404,30385992,30386005,13
channel-21113,25377,30385993,30386000,7
channel-98451,130,30386001,30386022,21
channel-1,408827,30386005,30386019,14
channel-208,1491340,30386010,30386023,13
channel-72,516527,30386014,30386048,34
channel-122,668533,30386022,30386025,3
channel-21113,25378,30386028,30386034,6
channel-72,516528,30386041,30386067,26
channel-1,408828,30386065,30386077,12
channel-143,128511,30386078,30386090,12
channel-4,167100,30386080,30386090,10
channel-98451,131,30386088,30386100,12
channel-326,538622,30386094,30386103,9
channel-199,133035,30386102,30386113,11
channel-208,1491341,30386109,30386119,10
channel-208,1491342,30386110,30386119,9
channel-85077,61394,30386112,30386119,7
channel-6994,1326405,30386120,30386131,11
channel-750,685921,30386131,30386146,15
channel-750,685922,30386139,30386143,4
channel-208,1491343,30386149,30386158,9
channel-326,538623,30386165,30386170,5
channel-4,167101,30386180,30386189,9
channel-75,845472,30386181,30386189,8
channel-6994,1326406,30386193,30386205,12
channel-42,1490114,30386205,30386215,10
channel-750,685923,30386213,30386218,5
channel-0,4040971,30386215,30386226,11
channel-38946,124384,30386217,30386237,20
channel-0,4040972,30386223,30386238,15
channel-92956,227,30386231,30386242,11
channel-6,66644,30386233,30386249,16
channel-6994,1326407,30386238,30386249,11
channel-8945,17767,30386238,30386262,24
channel-326,538624,30386245,30386251,6
channel-750,685924,30386245,30386250,5
channel-0,4040973,30386253,30386265,12
channel-115,20447,30386255,30386266,11
channel-412,64702,30386259,30386271,12
channel-0,4040974,30386265,30386278,13
channel-750,685925,30386278,30386295,17
channel-6994,1326408,30386281,30386291,10
channel-4,167102,30386283,30386294,11
channel-0,4040975,30386291,30386303,12
channel-326,538625,30386312,30386362,50
channel-326,538626,30386312,30386357,45
channel-326,538627,30386312,30386362,50
channel-326,538628,30386312,30386328,16
channel-326,538629,30386312,30386362,50
channel-326,538630,30386312,30386362,50
channel-326,538631,30386312,30386362,50
channel-216,94358,30386320,30386397,77
channel-750,685926,30386331,30386337,6
channel-6994,1326409,30386342,30386354,12
channel-85077,61395,30386342,30386351,9
channel-208,1491344,30386358,30386368,10
channel-6994,1326410,30386362,30386371,9
channel-122,668534,30386364,30386367,3
channel-75,845473,30386365,30386371,6
channel-750,685927,30386379,30386392,13
channel-6787,166876,30386388,30386393,5
channel-1429,140861,30386406,30386416,10
channel-98451,132,30386410,30386423,13
channel-6994,1326411,30386412,30386422,10
channel-19774,346250,30386414,30386421,7
channel-750,685928,30386421,30386432,11
channel-85077,61396,30386422,30386431,9
channel-85077,61397,30386426,30386438,12
channel-6994,1326412,30386427,30386440,13
channel-0,4040976,30386432,30386442,10
channel-208,1491345,30386453,30386465,12
channel-6994,1326413,30386463,30386473,10
channel-6787,166877,30386480,30386485,5
channel-0,4040977,30386496,30386506,10
channel-19774,346251,30386503,30386512,9
channel-750,685929,30386531,30386543,12
channel-1,408829,30386533,30386553,20
channel-75,845474,30386534,30386541,7
channel-232,49237,30386544,30386556,12
channel-783,104456,30386546,30386556,10
channel-874,293639,30386569,30386593,24
channel-874,293640,30386580,30386587,7
channel-0,4040978,30386590,30386600,10
channel-143,128512,30386591,30386606,15
channel-0,4040979,30386594,30386604,10
channel-750,685930,30386616,30386627,11
channel-92956,228,30386628,30386642,14
channel-169,117534,30386636,30386660,24
channel-0,4040980,30386639,30386652,13
channel-412,64703,30386676,30386683,7
channel-750,685931,30386677,30386689,12
channel-750,685932,30386679,30386693,14
channel-85077,61398,30386693,30386703,10
channel-0,4040981,30386694,30386702,8
channel-750,685933,30386700,30386715,15
channel-750,685934,30386703,30386722,19
channel-0,4040982,30386712,30386723,11
channel-874,293641,30386715,30386733,18
channel-199,133036,30386717,30386724,7
channel-750,685935,30386746,30386762,16
channel-750,685936,30386749,30386761,12
channel-75,845475,30386750,30386768,18
channel-0,4040983,30386750,30386764,14
channel-94814,3825,30386766,30386778,12
channel-750,685937,30386777,30386787,10
channel-750,685938,30386778,30386787,9
channel-2188,43951,30386783,30386788,5
channel-0,4040984,30386790,30386798,8
channel-208,1491346,30386794,30386803,9
channel-208,1491347,30386794,30386803,9
channel-208,1491348,30386796,30386803,7
channel-750,685939,30386798,30386808,10
channel-144,86711,30386814,30386825,11
channel-750,685940,30386818,30386832,14
channel-19774,346252,30386819,30386829,10
channel-0,4040985,30386826,30386846,20
channel-874,293642,30386832,30386850,18
channel-19774,346253,30386846,30386854,8
channel-2188,43952,30386854,30386860,6
channel-75,845476,30386877,30386884,7
channel-750,685941,30386882,30386891,9
channel-6994,1326414,30386895,30386904,9
channel-2188,43953,30386907,30386912,5
channel-6994,1326415,30386916,30386926,10
channel-320,119318,30386916,30386933,17
channel-0,4040986,30386918,30386932,14
channel-874,293643,30386940,30386951,11
channel-1,408830,30386943,30386957,14
channel-85077,61399,30386953,30386962,9
channel-144,86712,30386967,30386980,13
channel-85791,3789,30386993,30386998,5
channel-320,119319,30386997,30387013,16
channel-75,845477,30387010,30387016,6
channel-38946,124385,30387015,30387048,33
channel-6994,1326416,30387031,30387042,11
channel-122,668535,30387037,30387040,3
channel-0,4040987,30387040,30387050,10
channel-122,668536,30387041,30387045,4
channel-6994,1326417,30387043,30387052,9
channel-38946,124386,30387054,30387076,22
channel-2188,43954,30387060,30387065,5
channel-750,685942,30387075,30387084,9
channel-38946,124387,30387077,30387090,13
channel-0,4040988,30387086,30387097,11
channel-19774,346254,30387098,30387111,13
channel-6994,1326418,30387103,30387112,9
channel-0,4040989,30387104,30387124,20
channel-38946,124388,30387107,30387125,18
channel-6994,1326419,30387107,30387117,10
channel-38946,124389,30387113,30387130,17
channel-0,4040990,30387114,30387124,10
channel-208,1491349,30387119,30387127,8
channel-0,4040991,30387123,30387134,11
channel-750,685943,30387132,30387140,8
channel-0,4040992,30387136,30387150,14
channel-38946,124390,30387140,30387158,18
channel-208,1491350,30387152,30387165,13
channel-326,538632,30387162,30387180,18
channel-216,94359,30387162,30387264,102
channel-208,1491351,30387164,30387175,11
channel-6787,166878,30387172,30387176,4
channel-208,1491352,30387174,30387184,10
channel-6994,1326420,30387176,30387186,10
channel-0,4040993,30387182,30387193,11
channel-204,670892,30387192,30387199,7
channel-0,4040994,30387199,30387207,8
channel-750,685944,30387218,30387229,11
channel-85077,61400,30387222,30387232,10
channel-38946,124391,30387226,30387238,12
channel-199,133037,30387227,30387234,7
channel-85077,61401,30387227,30387237,10
channel-750,685945,30387230,30387243,13
channel-38946,124392,30387232,30387246,14
channel-75,845478,30387242,30387249,7
channel-874,293644,30387244,30387253,9
channel-750,685946,30387246,30387256,10
channel-0,4040995,30387247,30387261,14
channel-92956,229,30387248,30387260,12
channel-750,685947,30387253,30387264,11
channel-2188,43955,30387256,30387261,5
channel-122,668537,30387265,30387269,4
channel-75016,4676,30387273,30387293,20
channel-38946,124393,30387304,30387319,15
channel-199,133038,30387311,30387322,11
channel-38946,124394,30387313,30387355,42
channel-0,4040996,30387315,30387326,11
channel-0,4040997,30387316,30387326,10
channel-750,685948,30387344,30387348,4
channel-38946,124395,30387346,30387359,13
channel-38946,124396,30387359,30387383,24
channel-1,408831,30387360,30387370,10
channel-22172,2621,30387362,30387371,9
channel-0,4040998,30387364,30387372,8
channel-750,685949,30387364,30387370,6
channel-750,685950,30387365,30387370,5
channel-199,133039,30387367,30387373,6
channel-38946,124397,30387367,30387378,11
channel-208,1491353,30387369,30387380,11
channel-750,685951,30387372,30387383,11
channel-208,1491354,30387391,30387402,11
channel-0,4040999,30387391,30387401,10
channel-750,685952,30387397,30387407,10
channel-4,167103,30387398,30387413,15
channel-0,4041000,30387399,30387411,12
channel-750,685953,30387402,30387413,11
channel-6994,1326421,30387404,30387413,9
channel-0,4041001,30387409,30387419,10
channel-38946,124398,30387410,30387416,6
channel-199,133040,30387418,30387430,12
channel-22172,2622,30387419,30387429,10
channel-750,685954,30387420,30387430,10
channel-0,4041002,30387422,30387431,9
channel-38946,124399,30387424,30387441,17
channel-874,293645,30387425,30387447,22
channel-750,685955,30387428,30387437,9
channel-38946,124400,30387436,30387472,36
channel-750,685956,30387450,30387468,18
channel-92956,230,30387450,30387460,10
channel-0,4041003,30387451,30387460,9
channel-98451,133,30387461,30387471,10
channel-122,668538,30387463,30387467,4
channel-85077,61402,30387487,30387496,9
channel-0,4041004,30387496,30387505,9
channel-85077,61403,30387509,30387519,10
channel-750,685957,30387515,30387526,11
channel-0,4041005,30387518,30387529,11
channel-88,467270,30387520,30387534,14
channel-6994,1326422,30387521,30387532,11
channel-0,4041006,30387527,30387538,11
channel-750,685958,30387528,30387538,10
channel-85077,61404,30387530,30387540,10
channel-750,685959,30387532,30387544,12
channel-750,685960,30387542,30387547,5
channel-874,293646,30387546,30387566,20
channel-0,4041007,30387551,30387562,11
channel-0,4041008,30387551,30387562,11
channel-85077,61405,30387551,30387560,9
channel-6994,1326423,30387552,30387577,25
channel-0,4041009,30387554,30387566,12
channel-750,685961,30387561,30387571,10
channel-6787,166879,30387568,30387572,4
channel-1,408832,30387572,30387582,10
channel-0,4041010,30387574,30387589,15
channel-0,4041011,30387575,30387589,14
channel-2188,43956,30387576,30387581,5
channel-6994,1326424,30387579,30387591,12
channel-85077,61406,30387579,30387589,10
channel-750,685962,30387587,30387592,5
channel-6994,1326425,30387589,30387599,10
channel-85077,61407,30387589,30387598,9
channel-874,293647,30387590,30387596,6
channel-208,1491355,30387591,30387603,12
channel-85077,61408,30387602,30387613,11
channel-750,685963,30387605,30387618,13
channel-85077,61409,30387616,30387623,7
channel-6994,1326426,30387621,30387630,9
channel-0,4041012,30387625,30387635,10
channel-874,293648,30387629,30387635,6
channel-6994,1326427,30387630,30387653,23
channel-19774,346255,30387636,30387645,9
channel-85077,61410,30387638,30387648,10
channel-76971,12274,30387639,30387656,17
channel-6994,1326428,30387649,30387658,9
channel-750,685964,30387650,30387663,13
channel-0,4041013,30387651,30387660,9
channel-0,4041014,30387658,30387669,11
channel-75,845479,30387664,30387672,8
channel-208,1491356,30387668,30387678,10
channel-874,293649,30387694,30387712,18
channel-0,4041015,30387699,30387708,9
channel-85077,61411,30387709,30387719,10
channel-85077,61412,30387715,30387724,9
channel-0,4041016,30387719,30387730,11
channel-0,4041017,30387720,30387741,21
channel-85791,3790,30387721,30387727,6
channel-85077,61413,30387727,30387739,12
channel-19774,346256,30387728,30387738,10
channel-750,685965,30387730,30387736,6
channel-779,1174,30387731,30387977,246
channel-85077,61414,30387732,30387746,14
channel-0,4041018,30387744,30387755,11
channel-0,4041019,30387749,30387760,11
channel-208,1491357,30387750,30387761,11
channel-85077,61415,30387757,30387768,11
channel-750,685966,30387758,30387769,11
channel-4,167104,30387760,30387772,12
channel-75,845480,30387765,30387773,8
channel-0,4041020,30387768,30387780,12
channel-199,133041,30387769,30387781,12
channel-38946,124403,30387780,30387816,36
channel-1,408833,30387782,30387792,10
channel-38946,124404,30387786,30387804,18
channel-0,4041021,30387800,30387809,9
channel-0,4041022,30387804,30387811,7
channel-750,685967,30387809,30387821,12
channel-85077,61416,30387811,30387822,11
channel-874,293650,30387811,30387832,21
channel-85077,61417,30387813,30387824,11
