channel_id,sequence,send_height,ack_height,block_delay
channel-208,1488457,30116006,30116014,8
channel-79703,4363,30116010,30116031,21
channel-208,1488458,30116020,30116034,14
channel-122,666979,30116027,30116031,4
channel-0,4033735,30116030,30116037,7
channel-6994,1321268,30116031,30116046,15
channel-0,4033736,30116034,30116045,11
channel-122,666980,30116038,30116042,4
channel-75,843614,30116045,30116053,8
channel-15464,2642,30116052,30116076,24
channel-750,678871,30116053,30116073,20
channel-750,678872,30116054,30116063,9
channel-15464,2643,30116054,30116077,23
channel-199,132224,30116060,30116070,10
channel-750,678873,30116076,30116081,5
channel-0,4033737,30116077,30116089,12
channel-208,1488459,30116083,30116093,10
channel-750,678874,30116089,30116094,5
channel-122,666981,30116094,30116098,4
