channel_id,sequence,send_height,ack_height,block_delay
channel-208,1489019,30190000,30190017,17
channel-122,667379,30190003,30190006,3
channel-85077,58738,30190014,30190026,12
channel-750,680505,30190016,30190030,14
channel-0,4035524,30190020,30190026,6
channel-750,680506,30190040,30190057,17
channel-0,4035525,30190050,30190061,11
channel-6994,1322343,30190050,30190064,14
channel-85077,58739,30190063,30190078,15
channel-0,4035526,30190065,30190073,8
channel-85077,58740,30190071,30190078,7
channel-6787,166548,30190084,30190088,4
channel-6994,1322344,30190107,30190114,7
channel-0,4035527,30190111,30190123,12
channel-0,4035528,30190140,30190152,12
channel-1429,140615,30190140,30190152,12
channel-320,119098,30190143,30190168,25
channel-208,1489020,30190144,30190156,12
channel-85077,58741,30190146,30190156,10
channel-750,680507,30190146,30190161,15
channel-208,1489021,30190147,30190156,9
channel-750,680508,30190150,30190153,3
channel-750,680509,30190152,30190168,16
channel-320,119099,30190173,30190183,10
channel-320,119100,30190184,30190197,13
channel-750,680510,30190185,30190195,10
channel-320,119101,30190190,30190211,21
channel-6994,1322345,30190212,30190232,20
channel-122,667380,30190214,30190217,3
channel-320,119102,30190219,30190230,11
channel-320,119103,30190233,30190242,9
channel-208,1489022,30190236,30190244,8
channel-340,3122,30190238,30190244,6
channel-42,1489751,30190239,30190246,7
channel-320,119104,30190240,30190312,72
channel-750,680511,30190244,30190249,5
channel-85077,58742,30190244,30190257,13
channel-89298,18522,30190246,30190255,9
channel-75755,5516,30190247,30190261,14
channel-750,680512,30190254,30190259,5
channel-208,1489023,30190259,30190270,11
channel-750,680513,30190266,30190280,14
channel-208,1489024,30190266,30190279,13
channel-122,667381,30190268,30190272,4
channel-85077,58743,30190271,30190289,18
channel-85077,58744,30190292,30190322,30
channel-85077,58745,30190296,30190322,26
channel-208,1489025,30190296,30190305,9
channel-874,292212,30190299,30190305,6
channel-85077,58746,30190299,30190322,23
channel-122,667382,30190301,30190304,3
channel-91017,2667,30190308,30190317,9
channel-326,537228,30190327,30190354,27
