channel_id,sequence,send_height,ack_height,block_delay
channel-326,536835,30131002,30131009,7
channel-6994,1321644,30131007,30131023,16
channel-750,679240,30131011,30131034,23
channel-0,4034099,30131013,30131022,9
channel-750,679241,30131035,30131046,11
channel-122,667094,30131036,30131039,3
channel-0,4034100,30131046,30131055,9
channel-76971,12178,30131047,30131058,11
channel-6994,1321645,30131047,30131059,12
channel-122,667095,30131048,30131052,4
channel-75,843916,30131055,30131066,11
channel-0,4034101,30131066,30131100,34
channel-85077,58033,30131066,30131088,22
channel-0,4034102,30131073,30131085,12
channel-75,843917,30131076,30131084,8
channel-1279,67078,30131076,30131088,12
channel-85077,58034,30131076,30131088,12
channel-750,679242,30131077,30131103,26
channel-122,667096,30131087,30131100,13
channel-874,292043,30131088,30131095,7
channel-0,4034103,30131089,30131100,11
channel-251,85061,30131090,30131100,10
channel-75,843918,30131097,30131104,7
channel-0,4034104,30131097,30131105,8
channel-1,407783,30131098,30131125,27
channel-75,843919,30131098,30131104,6
channel-0,4034105,30131099,30131105,6
channel-42,1489669,30131100,30131109,9
channel-750,679243,30131102,30131134,32
channel-326,536836,30131103,30131261,158
channel-326,536837,30131103,30131261,158
channel-326,536838,30131103,30131261,158
channel-326,536839,30131103,30131261,158
channel-326,536840,30131103,30131261,158
channel-208,1488571,30131103,30131111,8
channel-75,843920,30131108,30131119,11
channel-85077,58035,30131115,30131141,26
channel-42,1489670,30131119,30131136,17
channel-92956,185,30131123,30131132,9
channel-122,667097,30131123,30131126,3
channel-199,132242,30131124,30131137,13
channel-75,843921,30131128,30131137,9
channel-0,4034106,30131135,30131145,10
channel-0,4034107,30131138,30131145,7
channel-750,679244,30131142,30131162,20
channel-0,4034108,30131142,30131149,7
channel-75,843922,30131145,30131155,10
channel-326,536841,30131146,30131154,8
channel-0,4034109,30131153,30131163,10
channel-2,130505,30131157,30131165,8
channel-0,4034110,30131166,30131177,11
channel-0,4034111,30131169,30131181,12
channel-6994,1321646,30131171,30131184,13
channel-1429,140581,30131186,30131198,12
channel-0,4034112,30131189,30131199,10
channel-6994,1321647,30131190,30131200,10
channel-89298,18442,30131196,30131204,8
channel-75,843923,30131196,30131204,8
channel-6994,1321648,30131197,30131210,13
channel-750,679245,30131199,30131219,20
channel-320,119025,30131210,30131223,13
channel-42,1489671,30131211,30131219,8
channel-73755,5804,30131212,30131220,8
channel-6994,1321649,30131221,30131237,16
channel-75,843924,30131224,30131231,7
channel-75,843925,30131227,30131234,7
channel-208,1488572,30131228,30131241,13
channel-6994,1321650,30131232,30131258,26
channel-122,667098,30131233,30131236,3
channel-165,71333,30131238,30131936,698
channel-75,843926,30131243,30131251,8
channel-122,667099,30131244,30131247,3
channel-42,1489672,30131244,30131255,11
channel-750,679246,30131253,30131258,5
channel-208,1488573,30131254,30131262,8
channel-88,466901,30131255,30131273,18
channel-750,679247,30131259,30131264,5
channel-6994,1321651,30131262,30131277,15
channel-75,843927,30131263,30131272,9
channel-75,843928,30131268,30131276,8
channel-0,4034113,30131270,30131282,12
channel-75,843929,30131275,30131282,7
channel-6994,1321652,30131276,30131287,11
channel-412,64328,30131278,30131292,14
