peer_id,remote_ip,is_outbound,send_bytes,recv_bytes,edge_weight_MB,edge_color
b6fedf0d6c87628e72cd5a82058b551445168f9f,23.88.75.75,True,8307450284,8942104713,16450.45757007599,blue
793a5c79d2eae09b11c5feed5e945c30f3ccc706,64.130.55.5,True,6944539212,8233666658,14475.065107345581,blue
def524b19130cbbc671ea6635d18f426f4afaa96,5.9.95.101,True,3672021421,3746884770,7075.220290184021,blue
b6e2ad9837ec862aacd08fb28f6febd0c290d54b,103.241.50.31,True,5065292053,4469491913,9093.078580856323,blue
a3d598265d6b74630099d52dc287814cb0c7e174,135.181.73.170,True,8743238323,6691246161,14719.471439361572,blue
dfc9f2646b05bd9e0159fa52c20b4ed885558ce5,162.19.56.16,True,9462753687,8010125461,16663.43607711792,blue
66ca3161c5532da890815e40826ddbbbe2cb7f6c,176.9.101.44,True,8296047766,8903368105,16402.641173362732,blue
66248ea4d70c4b8fd6c9ba848895a0332a3a345e,74.118.140.203,False,6710399882,8637016251,14636.436589241028,green
f05ddce65f1e75babe01d05fef1bce5d8ffe0972,54.177.181.170,False,10156853536,10266940479,19477.647795677185,green
7dd34d8d3880bc48eff3e47b941d06bd1941a962,93.115.25.106,True,7745385346,8140765298,15150.213855743408,blue
023eabdd8c577532d54eb4fdafe84e84e08e538f,67.209.54.175,False,8656729011,8031397067,15915.037229537964,green
1da54d20c7339713f1d6d28dd2117087dd33d0ca,5.9.59.145,False,1478661938,1526805982,2866.237564086914,green
36ad7bacc3a18b4deb647c60a0c1d8bbd24fde39,82.113.25.131,True,9654288950,9777804717,18531.888644218445,blue
d85a4ffa0142ed3420fcc41cb89ece8f9758dd59,212.205.237.216,False,52185313,21575710,70.34399318695068,green
dff07399aeadf3f1b6edfac07f92a238112d3036,93.189.30.120,False,4677281699,4867673228,9102.778365135193,green
23e96e3174d9bf78d32d4f214ce3c62514b91d97,142.132.193.150,True,4237432779,3612580150,7486.355713844299,blue
932720552727174194287602fa9ca7e5ed881a52,5.101.149.79,True,4429920467,3627709177,7684.354442596436,blue
3fdd286a90ce8d2ddc6f52f73a286b2364812fd8,169.155.171.230,True,50600776,47807643,93.84958171844482,blue
f6eeffda747d3ce5a05dc92aa4f33658fb0c7fd6,136.243.21.50,True,36371288,35205530,68.26097297668457,blue
