channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,fee_amount,fee_denom,time_delay_sec
channel-391,350959,22709943,2024-10-20 22:00:36.352370,22709946.0,2024-10-20 22:00:54.526809,3.0,632uatom,,18.174439
channel-391,350960,22709983,2024-10-20 22:04:28.407949,22709986.0,2024-10-20 22:04:47.661583,3.0,631uatom,,19.253634
channel-391,350961,22709999,2024-10-20 22:06:05.646164,22710002.0,2024-10-20 22:06:23.672578,3.0,8970uatom,,18.026414
channel-391,350962,22710013,2024-10-20 22:07:28.407637,22710017.0,2024-10-20 22:07:48.588720,4.0,583uatom,,20.181083
channel-391,350963,22710229,2024-10-20 22:28:39.593546,22710233.0,2024-10-20 22:29:03.435196,4.0,15754uatom,,23.84165
channel-391,350964,22710253,2024-10-20 22:31:03.892696,22710257.0,2024-10-20 22:31:27.935255,4.0,701uatom,,24.042559
channel-391,350965,22710424,2024-10-20 22:47:42.841821,22710429.0,2024-10-20 22:48:13.142154,5.0,680uatom,,30.300333
channel-391,350966,22710476,2024-10-20 22:52:52.541374,22710481.0,2024-10-20 22:53:22.976252,5.0,20478uatom,,30.434878
channel-391,350967,22710705,2024-10-20 23:15:38.094724,22710711.0,2024-10-20 23:16:14.382094,6.0,725uatom,,36.28737
channel-391,350968,22710859,2024-10-20 23:30:46.534205,22710861.0,2024-10-20 23:30:58.495053,2.0,417uatom,,11.960848
channel-391,350969,22710932,2024-10-20 23:37:52.449020,22710937.0,2024-10-20 23:38:22.392015,5.0,683uatom,,29.942995
channel-391,350970,22710944,2024-10-20 23:39:02.550120,22710948.0,2024-10-20 23:39:27.793491,4.0,686uatom,,25.243371
channel-391,350971,22711132,2024-10-20 23:57:37.401692,22711137.0,2024-10-20 23:58:07.647997,5.0,696uatom,,30.246305
channel-391,350972,22711291,2024-10-21 00:13:21.249195,22711296.0,2024-10-21 00:13:52.381958,5.0,3430uatom,,31.132763
channel-391,350973,22711294,2024-10-21 00:13:39.747854,22711296.0,2024-10-21 00:13:52.381958,2.0,420uatom,,12.634104
channel-391,350974,22711295,2024-10-21 00:13:45.725229,22711300.0,2024-10-21 00:14:12.497527,5.0,631uatom,,26.772298
channel-391,350975,22711463,2024-10-21 00:30:14.401937,22711467.0,2024-10-21 00:30:38.034050,4.0,417uatom,,23.632113
channel-391,350976,22711495,2024-10-21 00:33:17.928082,22711498.0,2024-10-21 00:33:36.163230,3.0,10026uatom,,18.235148
channel-391,350977,22711716,2024-10-21 00:55:12.667489,22711719.0,2024-10-21 00:55:30.935529,3.0,582uatom,,18.26804
channel-391,350978,22711736,2024-10-21 00:57:12.130094,22711739.0,2024-10-21 00:57:28.111852,3.0,582uatom,,15.981758
channel-391,350979,22711771,2024-10-21 01:00:41.127315,22711774.0,2024-10-21 01:00:59.559809,3.0,2763uatom,,18.432494
channel-391,350980,22711945,2024-10-21 01:17:49.197059,22711948.0,2024-10-21 01:18:07.279254,3.0,631uatom,,18.082195
channel-391,350981,22712123,2024-10-21 01:35:27.031266,22712125.0,2024-10-21 01:35:38.991543,2.0,583uatom,,11.960277
channel-391,350982,22712685,2024-10-21 02:30:41.104622,22712689.0,2024-10-21 02:31:05.222440,4.0,693uatom,,24.117818
channel-391,350983,22712932,2024-10-21 02:55:10.264726,22712935.0,2024-10-21 02:55:28.419990,3.0,2375uatom,,18.155264
channel-391,350984,22712965,2024-10-21 02:58:32.144130,22712967.0,2024-10-21 02:58:40.597985,2.0,2981uatom,,8.453855
channel-391,350985,22712994,2024-10-21 03:01:16.761448,22712997.0,2024-10-21 03:01:35.196733,3.0,5106uatom,,18.435285
channel-391,350986,22713551,2024-10-21 03:56:22.117422,22713555.0,2024-10-21 03:56:44.420069,4.0,3335uatom,,22.302647
channel-391,350987,22714028,2024-10-21 04:43:20.257179,22714031.0,2024-10-21 04:43:38.069912,3.0,3558uatom,,17.812733
channel-391,350988,22714094,2024-10-21 04:49:53.176593,22714097.0,2024-10-21 04:50:11.204264,3.0,629uatom,,18.027671
channel-391,350989,22714144,2024-10-21 04:54:52.905013,22714147.0,2024-10-21 04:55:11.326038,3.0,1386uatom,,18.421025
channel-391,350990,22714165,2024-10-21 04:56:54.936002,22714169.0,2024-10-21 04:57:15.353351,4.0,9046uatom,,20.417349
channel-391,350991,22714208,2024-10-21 05:01:03.354212,22714211.0,2024-10-21 05:01:21.339601,3.0,417uatom,,17.985389
channel-391,350992,22714279,2024-10-21 05:08:08.450258,22714281.0,2024-10-21 05:08:20.232799,2.0,5780uatom,,11.782541
channel-391,350993,22714429,2024-10-21 05:23:04.493181,22714433.0,2024-10-21 05:23:25.599974,4.0,2360uatom,,21.106793
channel-391,350994,22714584,2024-10-21 05:38:28.875100,22714587.0,2024-10-21 05:38:47.084722,3.0,631uatom,,18.209622
channel-391,350995,22715112,2024-10-21 06:30:26.506628,22715115.0,2024-10-21 06:30:42.780352,3.0,582uatom,,16.273724
channel-391,350996,22715118,2024-10-21 06:31:00.918925,22715122.0,2024-10-21 06:31:25.141789,4.0,9166uatom,,24.222864
channel-391,350997,22715130,2024-10-21 06:32:14.566888,22715132.0,2024-10-21 06:32:26.640332,2.0,583uatom,,12.073444
channel-391,350998,22715250,2024-10-21 06:43:59.730365,22715254.0,2024-10-21 06:44:22.683782,4.0,6442uatom,,22.953417
channel-391,350999,22715270,2024-10-21 06:45:58.744812,22715273.0,2024-10-21 06:46:17.013360,3.0,2237uatom,,18.268548
channel-391,351000,22715421,2024-10-21 07:00:54.226156,22715424.0,2024-10-21 07:01:10.599530,3.0,3316uatom,,16.373374
channel-391,351001,22715459,2024-10-21 07:04:40.291494,22715462.0,2024-10-21 07:04:58.156272,3.0,631uatom,,17.864778
channel-391,351002,22715507,2024-10-21 07:09:25.617383,22715509.0,2024-10-21 07:09:35.756480,2.0,3312uatom,,10.139097
channel-391,351003,22715508,2024-10-21 07:09:31.818675,22715510.0,2024-10-21 07:09:41.755912,2.0,632uatom,,9.937237
channel-391,351004,22715577,2024-10-21 07:16:25.403575,22715580.0,2024-10-21 07:16:43.196731,3.0,421uatom,,17.793156
channel-391,351005,22715603,2024-10-21 07:18:58.927261,22715606.0,2024-10-21 07:19:18.123876,3.0,3264uatom,,19.196615
channel-391,351006,22715655,2024-10-21 07:24:12.546825,22715658.0,2024-10-21 07:24:30.348292,3.0,2237uatom,,17.801467
channel-391,351007,22715688,2024-10-21 07:27:25.718458,22715691.0,2024-10-21 07:27:43.916235,3.0,3315uatom,,18.197777
channel-391,351008,22715775,2024-10-21 07:35:57.382631,22715779.0,2024-10-21 07:36:21.618424,4.0,686uatom,,24.235793
channel-391,351009,22715849,2024-10-21 07:43:13.076318,22715852.0,2024-10-21 07:43:31.096470,3.0,6436uatom,,18.020152
channel-391,351010,22715889,2024-10-21 07:47:18.028879,22715891.0,2024-10-21 07:47:30.008000,2.0,11307uatom,,11.979121
channel-391,351011,22715927,2024-10-21 07:51:09.576854,22715929.0,2024-10-21 07:51:21.826929,2.0,366uatom,,12.250075
channel-391,351012,22715970,2024-10-21 07:55:21.629231,22715974.0,2024-10-21 07:55:43.099253,4.0,2483uatom,,21.470022
channel-391,351013,22716004,2024-10-21 07:58:39.839921,22716007.0,2024-10-21 07:58:58.054850,3.0,632uatom,,18.214929
