timestamp,n_txs,total,total_bytes
2025-03-24 20:49:42,2,2,1972
2025-03-24 20:49:47,2,2,26936
2025-03-24 20:49:52,2,2,45177
2025-03-24 20:49:57,6,6,93554
2025-03-24 20:50:01,4,4,16595
2025-03-24 20:50:05,1,1,501
2025-03-24 20:50:09,3,3,2277
2025-03-24 20:50:14,2,2,595
2025-03-24 20:50:16,2,2,28028
2025-03-24 20:50:20,3,3,56670
2025-03-24 20:50:25,1,1,828
2025-03-24 20:50:29,2,2,29591
2025-03-24 20:50:34,0,0,0
2025-03-24 20:50:38,0,0,0
2025-03-24 20:50:42,3,3,1177
2025-03-24 20:50:43,4,4,1434
2025-03-24 20:50:47,2,2,514
2025-03-24 20:50:52,0,0,0
2025-03-24 20:50:56,0,0,0
2025-03-24 20:51:00,0,0,0
2025-03-24 20:51:04,0,0,0
2025-03-24 20:51:09,0,0,0
2025-03-24 20:51:13,0,0,0
2025-03-24 20:51:14,2,2,651
2025-03-24 20:51:19,3,3,28759
2025-03-24 20:51:23,1,1,665
2025-03-24 20:51:28,5,5,32511
2025-03-24 20:51:32,2,2,1152
2025-03-24 20:51:36,0,0,0
2025-03-24 20:51:42,0,0,0
2025-03-24 20:51:44,2,2,29710
2025-03-24 20:51:49,6,6,57455
2025-03-24 20:51:53,0,0,0
2025-03-24 20:51:58,2,2,29588
2025-03-24 20:52:02,5,5,2791
2025-03-24 20:52:06,2,2,2145
2025-03-24 20:52:10,0,0,0
2025-03-24 20:52:12,2,2,1783
2025-03-24 20:52:16,1,1,324
2025-03-24 20:52:20,2,2,27009
2025-03-24 20:52:25,5,5,57287
2025-03-24 20:52:30,2,2,29502
2025-03-24 20:52:34,2,2,29502
2025-03-24 20:52:38,0,0,0
2025-03-24 20:52:42,1,1,1155
2025-03-24 20:52:44,1,1,828
2025-03-24 20:52:49,0,0,0
2025-03-24 20:52:53,1,1,500
2025-03-24 20:52:57,0,0,0
2025-03-24 20:53:01,1,1,332
2025-03-24 20:53:06,4,4,1614
2025-03-24 20:53:10,0,0,0
2025-03-24 20:53:12,2,2,29664
2025-03-24 20:53:17,0,0,0
2025-03-24 20:53:21,1,1,257
2025-03-24 20:53:26,0,0,0
2025-03-24 20:53:30,2,2,591
2025-03-24 20:53:34,1,1,398
2025-03-24 20:53:38,3,3,1084
2025-03-24 20:53:43,3,3,10851
2025-03-24 20:53:45,0,0,0
2025-03-24 20:53:50,1,1,258
2025-03-24 20:53:54,2,2,1769
2025-03-24 20:53:58,1,1,320
2025-03-24 20:54:02,3,3,914
2025-03-24 20:54:07,1,1,325
2025-03-24 20:54:11,0,0,0
2025-03-24 20:54:13,5,5,1692
2025-03-24 20:54:18,2,2,651
2025-03-24 20:54:22,0,0,0
2025-03-24 20:54:26,1,1,317
2025-03-24 20:54:31,3,3,1007
2025-03-24 20:54:35,5,5,2198
2025-03-24 20:54:39,0,0,0
2025-03-24 20:54:44,0,0,0
2025-03-24 20:54:45,0,0,0
2025-03-24 20:54:50,1,1,257
2025-03-24 20:54:54,6,6,3123
2025-03-24 20:54:58,0,0,0
2025-03-24 20:55:02,2,2,1001
2025-03-24 20:55:06,1,1,337
2025-03-24 20:55:11,1,1,27922
2025-03-24 20:55:13,3,3,28816
2025-03-24 20:55:17,1,1,382
2025-03-24 20:55:21,0,0,0
2025-03-24 20:55:25,1,1,353
2025-03-24 20:55:30,2,2,27731
2025-03-24 20:55:34,1,1,337
2025-03-24 20:55:38,1,1,321
2025-03-24 20:55:42,1,1,337
2025-03-24 20:55:44,3,3,987
2025-03-24 20:55:49,1,1,338
2025-03-24 20:55:53,0,0,0
2025-03-24 20:55:57,1,1,335
2025-03-24 20:56:02,1,1,327
2025-03-24 20:56:06,1,1,257
2025-03-24 20:56:12,4,4,1235
2025-03-24 20:56:14,1,1,444
2025-03-24 20:56:18,2,2,616
2025-03-24 20:56:22,2,2,616
2025-03-24 20:56:27,2,2,27200
2025-03-24 20:56:31,0,0,0
2025-03-24 20:56:36,2,2,29385
2025-03-24 20:56:40,5,5,2423
2025-03-24 20:56:43,4,4,17507
2025-03-24 20:56:47,0,0,0
2025-03-24 20:56:51,1,1,501
